time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1781271391000235000,70.48423510742188,114.23559424746782,0.8840177299622919,48.69625110622442,57.373426080251164,104.64559409487993,212.5464691665626,5.13454509572834,3.241493587012918,41.283539067986325,1.4628829224273965
1781271392000237600,71.48423754882812,114.62821062188596,1.00158948034805,52.27630418258073,57.373413964790046,105.03821046929806,210.10864113558418,5.261537655846059,3.115269038529524,41.28352979850653,1.5396306450830546
1781271393000241400,72.48424145507812,114.85523621179163,0.6158885513708453,30.689023072693605,57.37339872650415,105.26523605920374,204.31856803762855,5.273018537894871,3.162325416414198,41.283524875081255,1.603386146645333
1781271394000244700,73.48424462890625,115.5596826383844,0.6023942543158585,29.99779525666108,57.373387738900156,105.96968248579651,200.19030569219981,5.268644960109695,3.0673402256622415,41.28351976780203,1.5351755978200634
1781271395000248300,74.48424829101563,115.89514049421996,0.8712429692801904,45.95130641826172,57.373374502158924,106.30514034163207,197.5537430776853,5.316135941977263,3.0750123776864626,41.28351258684866,1.4167788753650952
1781271396000251400,75.48425146484375,116.0226094070822,0.9760331708956315,58.09751555334957,57.373364138400525,106.43260925449431,198.60652700424976,5.263656177331961,3,41.28350585851732,1.2496778405373135
1781271397000255200,76.48425512695313,115.10686672572047,0.9720767172332567,68.93250324018712,57.37335904304706,105.51686657313257,206.49623884052238,5.2640769228250734,3,41.28349294019585,1.1350042571837042
1781271398000258000,77.48425805664063,114.14162533730268,0.8942125870261197,51.742098417775054,57.373345413546346,104.5516251847148,205.28736833827475,5.22964680168549,3,41.283489969976294,1.166299188508851
1781271399000262000,78.48426196289063,114.22524302918464,0.9551482504524096,56.3944673444955,57.37333395751127,104.63524287659675,207.89359043133805,5.340299083875027,3,41.28347712120422,1.2543554798503802
1781271400000264700,79.4842646484375,115.13856688328087,0.9754430934467052,58.447890700250326,57.37332623326424,105.54856673069298,211.79682947911041,5.256225838041165,3,41.28345524648351,1.3406049207767479
1781271401000268500,80.4842685546875,115.0018423628062,0.8848085597318696,69.32430473323159,57.373327065290994,105.41184221021831,226.18420220986224,5.258036473266067,3,41.28342885406023,1.033619554360236
1781271402000271400,81.48427124023438,115.73677682317793,0.9273783093138808,60.25315364432093,57.37331034955511,106.14677667059004,192.43721788208504,5.230915975721495,3,41.28343125151891,1.1874265578128642
1781271403000275200,82.48427514648438,115.25695742666721,1.0149469608162773,69.90040890676957,57.37330164103728,105.66695727407932,197.43846682120673,5.345518912113957,3,41.28341943031866,1.1730842928932501
